Episode, CL, CD, cl_cd, Objective, Objective_Value, Reward, Invalid_code, Failed 
286,,,0,cl_cd,-100,-100,1,1
287,,,0,cl_cd,-100,-100,1,1
288,,,0,cl_cd,-100,-100,1,1
289,,,0,cl_cd,-100,-100,1,1
290,,,0,cl_cd,-100,-100,1,1
291,,,0,cl_cd,-100,-100,1,1
292,,,0,cl_cd,-100,-100,1,1
293,,,0,cl_cd,-100,-100,1,1
294,,,0,cl_cd,-100,-100,1,1
295,,,0,cl_cd,-100,-100,1,1
296,,,0,cl_cd,-100,-100,1,1
297,,,0,cl_cd,-100,-100,1,1
298,,,0,cl_cd,-100,-100,1,1
299,,,0,cl_cd,-100,-100,1,1
300,,,0,cl_cd,-100,-100,1,1
301,,,0,cl_cd,-100,-100,1,1
302,,,0,cl_cd,-100,-100,1,1
303,,,0,cl_cd,-100,-100,1,1
304,,,0,cl_cd,-100,-100,1,1
305,,,0,cl_cd,-100,-100,1,1
306,,,0,cl_cd,-100,-100,1,1
307,,,0,cl_cd,-100,-100,1,1
308,,,0,cl_cd,-100,-100,1,1
309,,,0,cl_cd,-100,-100,1,1
310,,,0,cl_cd,-100,-100,1,1
311,,,0,cl_cd,-100,-100,1,1
312,,,0,cl_cd,-100,-100,1,1
313,,,0,cl_cd,-100,-100,1,1
314,,,0,cl_cd,-100,-100,1,1
315,,,0,cl_cd,-100,-100,1,1
316,,,0,cl_cd,-100,-100,1,1
317,,,0,cl_cd,-100,-100,1,1
318,,,0,cl_cd,-100,-100,1,1
319,,,0,cl_cd,-100,-100,1,1
320,,,0,cl_cd,-100,-100,1,1
321,,,0,cl_cd,-100,-100,1,1
322,,,0,cl_cd,-100,-100,1,1
323,,,0,cl_cd,-100,-100,1,1
324,,,0,cl_cd,-100,-100,1,1
325,,,0,cl_cd,-100,-100,1,1
326,,,0,cl_cd,-100,-100,1,1
327,,,0,cl_cd,-100,-100,1,1
328,,,0,cl_cd,-100,-100,1,1
329,,,0,cl_cd,-100,-100,1,1
330,,,0,cl_cd,-100,-100,1,1
331,,,0,cl_cd,-100,-100,1,1
332,,,0,cl_cd,-100,-100,1,1
333,,,0,cl_cd,-100,-100,1,1
334,,,0,cl_cd,-100,-100,1,1
335,,,0,cl_cd,-100,-100,1,1
336,,,0,cl_cd,-100,-100,1,1
337,,,0,cl_cd,-100,-100,1,1
338,,,0,cl_cd,-100,-100,1,1
339,,,0,cl_cd,-100,-100,1,1
340,,,0,cl_cd,-100,-100,1,1
341,,,0,cl_cd,-100,-100,1,1
342,,,0,cl_cd,-100,-100,1,1
343,,,0,cl_cd,-100,-100,1,1
344,,,0,cl_cd,-100,-100,1,1
345,,,0,cl_cd,-100,-100,1,1
346,,,0,cl_cd,-100,-100,1,1
347,,,0,cl_cd,-100,-100,1,1
348,,,0,cl_cd,-100,-100,1,1
